"Y","A","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185"
-11.6824715897273,1,0,1,2,16,3,-1,13,-0.13,0,21,2,15,20,15,30,5,15,0,7,7,6,6,6,5,5,2,2,5,223,4,1,1,0,4,9,7,95,1,1,272,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,5,3,10,20,40,10,10,10,-1,-1,-1,-1,-1,-1,40,5,20,20,5,10,5,8,6,7,8,-1,-1,-1,-1,-1,6,6,5,7,5,6,6,5,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,2,-1,-1,-1,-1,-1,-1,10,10,30,20,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,7,7,6,7,-1,-1,-1,-1,-1,0,0,0,-1,-1,25,10,30,15,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,7,8,6,8,-1,-1,-1,-1,-1
-13.1765462153489,0,1,1,12,14,14,14,13,0.24,1,22,2,10,30,20,10,15,15,1,8,9,9,9,9,7,8,7,2,7,196,16,18,60,27395,2,3,2,169,79,2,214,6,7,7,5,7,9,8,10,5,3,8,5,6,9,7,8,2,1,5,-1,25,5,30,15,5,20,50,0,10,25,0,15,25,20,10,20,15,10,8,7,7,9,9,9,10,8,5,9,5,7,7,5,5,4,5,6,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,3,-1,-1,-1,-1,-1,-1,30,10,20,15,10,15,40,10,10,15,10,15,35,15,15,10,10,15,8,7,9,7,8,8,9,8,6,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-2.19540065350917,1,0,1,21,22,10,10,14,0.27,1,24,2,20,20,20,20,10,10,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,203,7,204,1,9811,2,8,6,113,14,3,360,16,10,10,8,9,9,8,10,3,8,9,8,9,10,7,10,5,9,6,-1,20,20,20,15,10,15,25,10,15,25,15,10,30,15,20,15,5,15,8,10,8,10,8,8,10,10,8,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,25,25,25,10,5,10,25,25,25,10,5,10,30,15,15,15,10,5,40,15,15,15,5,10,8,10,10,7,8,8,10,10,7,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-0.00545380391949912,1,1,1,9,20,11,2,10,0.09,1,22,2,16,20,18,20,18,8,0,8,6,9,8,8,-1,7,8,2,10,35,9,1,1,0,2,1,2,225,1,2,45,7,8,2,7,7,7,8,3,3,6,7,2,6,7,7,10,3,10,7,-1,162.8,162.8,186,162.8,162.8,162.8,80,50,80,90,60,80,200,125,150,175,175,175,70,70,60,90,60,-10,-10,-10,-10,-10,7,7,7,7,6,7,7,6,2,-1,195.1,122,170.7,195.1,146.3,170.7,70,80,80,70,70,7,1,3,-10,-10,-10,-10,-10,-10,195.1,122,170.7,195.1,146.3,170.7,80,60,60,80,60,60,184.2,131.6,157.9,210.5,157.9,157.9,70,80,90,70,70,-10,-10,-10,-10,-10,-1,-1,-1,-1,-1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
-1.98753812675239,1,1,1,7,16,16,11,6,0.15,0,28,4,14.29,16.33,16.33,18.37,18.37,16.33,0,5,7,6,5,5,4,3,5,2,10,13,10,1,1,0,2,1,2,146,211,3,64,2,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,2,-1,120,200,200,200,160,120,80,80,80,80,80,80,142.9,142.9,142.9,238.1,142.9,190.5,70,80,80,90,70,-10,-10,-10,-10,-10,7,6,6,6,7,4,5,3,0,3,138.9,138.9,222.2,166.7,194.4,138.9,70,80,90,70,80,7,3,2,-10,-10,-10,-10,-10,-10,148.9,170.2,191.5,191.5,148.9,148.9,90,70,70,90,70,90,166.7,166.7,166.7,166.7,166.7,166.7,70,80,90,80,70,-10,-10,-10,-10,-10,3,0,1,2,-1,133.3,155.6,177.8,200,177.8,155.6,-10,-10,-10,-10,-10,-10,70,70,70,80,80,80,70,70,70,80,80,-10,70,70,80,70,80,-10,-10,-10,-10,-10
-17.8108200250777,1,1,0,10,9,2,2,6,-0.03,0,24,4,15,20,15,20,15,15,1,7,5,6,8,9,6,7,7,2,11,35,9,44,56,26062,6,1,2,205,177,1,340,7,7,1,8,7,5,1,8,6,8,6,3,7,7,4,7,6,1,6,-1,25,15,20,20,15,5,35,5,15,30,5,10,20,15,15,25,20,5,5,6,8,8,8,5,8,6,8,7,6,6,9,6,7,4,6,4,0,2,20,10,15,20,20,15,6,7,7,8,8,7,3,3,-1,-1,-1,-1,-1,-1,20,10,10,20,15,15,30,10,20,25,10,5,20,10,20,20,20,10,5,6,8,7,8,6,7,7,8,6,2,0,1,2,-1,25,10,20,20,15,10,25,5,25,25,15,5,25,15,10,25,10,15,20,15,15,25,20,5,6,6,8,8,9,6,7,7,8,5
-2.39044425434547,1,1,1,19,15,11,15,13,0.36,1,26,2,16,18,18,20,12,16,1,7,7,7,7,8,9,-1,5,2,14,176,9,162,1,26892,2,2,7,79,53,1,197,7,9,7,5,9,6,5,8,2,5,9,6,7,7,2,4,4,3,4,-1,20,10,22,20,15,13,19,10,18,20,13,20,14,20,18,18,20,10,7,10,9,8,8,7,9,8,9,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,8,7,8,8,6,5,6,9,8,9,6,7,3,3,20,15,20,15,15,15,20,15,20,15,15,15,20,15,20,15,15,15,20,15,20,15,15,15,7,7,7,7,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-13.7179982445406,0,0,1,4,18,12,-1,12,0.04,0,29,2,50,7,20,23,0,0,1,7,6,7,6,8,4,6,-1,2,19,73,9,1,1,0,3,1,6,182,1,1,98,7,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7,6,3,10,32,20,12,11,15,-1,-1,-1,-1,-1,-1,15,25,10,15,10,25,5,9,9,5,5,-1,-1,-1,-1,-1,8,6,7,7,7,6,5,4,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,3,-1,-1,-1,-1,-1,-1,10,25,20,15,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,10,8,9,7,-1,-1,-1,-1,-1,0,0,0,-1,-1,10,30,25,5,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,10,8,9,7,-1,-1,-1,-1,-1
-18.7459508136582,0,1,0,20,6,2,1,2,0.24,0,23,4,20,30,20,20,10,0,0,2,4,8,5,8,5,5,6,2,9,24,11,194,20,15004,2,1,6,46,82,5,304,2,2,4,4,8,8,8,7,5,2,6,5,7,8,9,9,7,7,5,-1,30,30,40,0,0,0,75,5,5,5,5,5,20,15,15,15,20,15,7,9,4,10,5,7,8,10,4,7,8,8,10,6,5,7,9,6,0,1.5,7,7,10,2,2,4,6,9,10,4,4,4,1,3,25,30,40,0,0,5,25,30,40,0,0,5,75,5,5,5,5,5,30,15,15,15,15,10,5,8,10,3,3,6,6,10,4,6,0,0,0,-1,-1,30,30,40,0,0,0,30,30,40,0,0,0,75,5,5,5,5,5,25,15,15,15,15,15,6,8,10,3,4,6,6,9,4,7
-25.2226211123284,1,0,0,3,10,7,-1,8,-1,0,24,6,20,20,20,20,10,10,1,7,6,6,6,8,5,6,5,2,1,1,1,1,1,0,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,9,5,5,4,4,8,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,2,-1,-1,-1,-1,-1,-1,15,15,30,30,1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,8,8,9,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
